Ваш курс,Ваш факультет,Ваша форма обучения,Ваш пол,"Поступили ли вы туда, куда сами хотели?",Имеется ли у вас интерес к профессии?,Работаете ли вы по профессии?,Почему вы учитесь в БГУИРе?,Посещаете ли вы лекции?,Ощущаете ли вы нехватку возможности выбирать интересующие вас предметы для изучения? ,Сдаёте ли вы чужие работы?,"Если сдаёте чужие работы, то почему?",Желаете ли вы продолжить обучение с целью получения знаний после выпуска?,Есть ли у вас желание уехать из РБ?,"С вашей точки зрения, уровень загруженности и объём информации по учёбе","Ситуация, когда предмет интересный, а подача плохая, возникает","Ситуация, когда предмет кажется бесполезным, возникает","Эмоции, которые вы получаете от всех частей учебного процесса, скорее","Прямо сейчас у вас есть выбор: получить диплом и выпуститься, или же остаться и доучиться. В обоих случаях армия (для мужчин) и распределение по вашему желанию, место для жилья в Минске вам обеспечено. Ваш диплом и диплом человека, который останется и дослушает все курсы, не будет отличаться. Ваши действия?",И напоследок: опишите БГУИР парой слов или одним предложением,Хотите ещё что-нибудь добавить?
2,ФКСиС,Бюджетная,Женский,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Затрудняюсь ответить,Есть желание уехать,Нормальный,Часто,Часто,Нейтральные,Доучиться,Хай,
2,ФИТУ,Бюджетная,Женский,"Университет - да, специальность - было без разницы","Был до поступления, но пропал",Нет,"Общественная жизнь университета, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, практически всегда","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Нормальный,Часто,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,Семья ФИТУ ,"Дайте диплом, пожалуйста!!!! "
1,ФИТУ,Платная,Мужской,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Общественная жизнь университета","Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Не хватает знаний выполнить самостоятельно",Нет,"Возможно, когда-нибудь уеду",Слишком большой,Часто,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,Норм ВУЗ,
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,Сдаю только свои работы,,"Да, в другом месте","Возможно, когда-нибудь уеду",Слишком большой,Очень часто или постоянно,Иногда,Негативные,Получить диплом и выпуститься,Пустая трата времени,
1,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Затрудняюсь ответить,Есть желание уехать,Нормальный,Очень редко или никогда,Иногда,Позитивные,Доучиться,700+ часов физры...,
2,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Общежитие/возможность проживать в Минске","Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Часто,Редко,Позитивные,Доучиться,не опишу,
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Не собираюсь уезжать,Слишком большой,Иногда,Часто,Позитивные,Получить диплом и выпуститься,"Много интересных предметов, лекции по которым устарели лет на 20 и несут больше историческую нагрузку. Но не все так плохо",Чертовски много лаб и чертовски долго их принимают
1,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Да,Нет,Нужен диплом,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Слишком большой,Очень часто или постоянно,Очень часто или постоянно,Негативные,Доучиться,"
BSUIR",BSUIR
2,ФКСиС,Бюджетная,Женский,"Да, и университет, и специальность",Да,"Да, со 2 курса",Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Нет,Есть желание уехать,Слишком большой,Очень часто или постоянно,Очень часто или постоянно,Крайне негативные,Получить диплом и выпуститься,Говно скучное,
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, но только то, что интересно",Да,Сдаю только свои работы,,Нет,"Возможно, когда-нибудь уеду",Слишком большой,Иногда,Очень часто или постоянно,Нейтральные,Доучиться,Одно предложение ,
