Ваш курс,Ваш факультет,Ваша форма обучения,Ваш пол,"Поступили ли вы туда, куда сами хотели?",Имеется ли у вас интерес к профессии?,Работаете ли вы по профессии?,Почему вы учитесь в БГУИРе?,Посещаете ли вы лекции?,Ощущаете ли вы нехватку возможности выбирать интересующие вас предметы для изучения? ,Сдаёте ли вы чужие работы?,"Если сдаёте чужие работы, то почему?",Желаете ли вы продолжить обучение с целью получения знаний после выпуска?,Есть ли у вас желание уехать из РБ?,"С вашей точки зрения, уровень загруженности и объём информации по учёбе","Ситуация, когда предмет интересный, а подача плохая, возникает","Ситуация, когда предмет кажется бесполезным, возникает","Эмоции, которые вы получаете от всех частей учебного процесса, скорее","Прямо сейчас у вас есть выбор: получить диплом и выпуститься, или же остаться и доучиться. В обоих случаях армия (для мужчин) и распределение по вашему желанию, место для жилья в Минске вам обеспечено. Ваш диплом и диплом человека, который останется и дослушает все курсы, не будет отличаться. Ваши действия?",И напоследок: опишите БГУИР парой слов или одним предложением,Хотите ещё что-нибудь добавить?
2,ФКП,Бюджетная,Мужской,"Университет - да, специальность - нет",Нет,Нет,Нужен диплом,"Да, но только то, что интересно",Да,"Да, но редко","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Затрудняюсь ответить,Нормальный,Иногда,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,"Шарага, но не такая шарага как другие вузы РБ",
1,ФРЭ,Бюджетная,Мужской,Нет,"Был до поступления, но пропал",Нет,"Нужен диплом, Отсрочка от армии","Да, стараюсь посещать по возможности все",Нет,Сдаю только свои работы,,"Да, в другом месте",Не собираюсь уезжать,Слишком большой,Часто,Редко,Негативные,Получить диплом и выпуститься,...,
2,ИЭФ,Платная,Женский,Затрудняюсь ответить,Да,Нет,Друзья/знакомые/мнение родителей,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Есть желание уехать,Нормальный,Очень часто или постоянно,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,"Требует инноваций, как и все в этой стране",
2,ФИТУ,Бюджетная,Женский,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Общественная жизнь университета, Общежитие/возможность проживать в Минске",Практически не посещаю,Нет,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,Универ как универ,
1,ФИТУ,Бюджетная,Женский,"Университет - да, специальность - нет",Нет,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,Нехватка времени,"Да, в БГУИР",Есть желание уехать,Нормальный,Часто,Часто,Нейтральные,Получить диплом и выпуститься,БГУИР - знания и стиль жизни,
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Нет,Есть желание уехать,Нормальный,Иногда,Часто,Нейтральные,Доучиться,-,
1,ФКП,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, часто","Нехватка времени, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Нормальный,Иногда,Очень часто или постоянно,Позитивные,Доучиться,Лучший IT-вуз страны,
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса",Считаю БГУИР хорошим местом для получения знаний,Практически не посещаю,Нет,"Да, часто",Нехватка времени,"Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Иногда,Иногда,Позитивные,Получить диплом и выпуститься,Лучше чем другиес вузы в РБ,
4,ФКП,Бюджетная,Мужской,"Да, и университет, и специальность",Затрудняюсь ответить,"Да, с 4 курса","Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, часто",Не хватает знаний выполнить самостоятельно,"Да, в БГУИР",Есть желание уехать,Нормальный,Редко,Часто,Позитивные,Получить диплом и выпуститься,К!,
3,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса",Нужен диплом,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Есть желание уехать,Слишком большой,Редко,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,"Вуз, который, кажется, пытается следовать трендам, но получается у него это с переменным успехом.",Нет.
3,ФИТУ,Бюджетная,Мужской,"Университет - да, специальность - нет",Нет,Нет,"Нужен диплом, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, часто",Отсутствие интереса к предмету,Нет,"Возможно, когда-нибудь уеду",Нормальный,Редко,Часто,Нейтральные,Получить диплом и выпуститься,Программистам лучше на РАФ,
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Нет,"Да, но редко",Нехватка времени,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Редко,Негативные,Доучиться,Взлом жопы,
1,ФИТУ,Бюджетная,Мужской,Нет,Да,Нет,Отсрочка от армии,Практически не посещаю,Да,"Да, но крайне редко",Отсутствие интереса к предмету,Нет,Не собираюсь уезжать,Слишком маленький,Редко,Очень часто или постоянно,Крайне негативные,Получить диплом и выпуститься,Тупое говно тупого говна,
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность","Был до поступления, но пропал",Нет,"Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, часто",Отсутствие интереса к предмету,Затрудняюсь ответить,Есть желание уехать,Нормальный,Часто,Иногда,Негативные,Получить диплом и выпуститься,"Самый обычный вуз, с теми же проблемами, что и в любом другом в нашей стране. Но: лабораторные работы (имеются в виду занятия, отведенное на них ОГРОМНОЕ количество времени) БЕСПОЛЕЗНЫ. С тем, как они проходят, лучше выделить время с них на более углубленные лекции и сделать лекции ОБЯЗАТЕЛЬНЫМИ для посещения, а на лабы дать 2 занятия в семестре: 1ое, чтобы выдать говно которое надо сдать, 2ое - чтобы прийти и сдать это говно. Все равно, никто качественно ничего не проверяет и какой-либо помощи не предложит по этим лабам.",
3,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Есть желание уехать,Нормальный,Иногда,Иногда,Нейтральные,Получить диплом и выпуститься,"нормально, но можно лучше ",
1,ФИК,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но редко",Нехватка времени,Нет,Не собираюсь уезжать,Нормальный,Иногда,Редко,Позитивные,Получить диплом и выпуститься,Не самое дурное место,"Хорошо подобраны варианты ответов. Я понимаю, как разграничить области для них. "
1,ФКСиС,Платная,Мужской,Нет,"Был до поступления, но пропал",Нет,Нужен диплом,Практически не посещаю,Да,"Да, но редко",Отсутствие интереса к предмету,Нет,Есть желание уехать,Слишком большой,Очень часто или постоянно,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,ни о чем,
2,ФКСиС,Платная,Женский,"Да, и университет, и специальность","Не было до поступления, но появился",Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в БГУИР",Есть желание уехать,Слишком большой,Часто,Иногда,Нейтральные,Доучиться,Не знаю ,
1,ФКП,Бюджетная,Мужской,Затрудняюсь ответить,"Был до поступления, но пропал",Нет,"Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, но редко",Не хватает знаний выполнить самостоятельно,"Да, в другом месте",Есть желание уехать,Слишком маленький,Часто,Часто,Нейтральные,Получить диплом и выпуститься,"Место, чтобы заниматься своим любимым делом. Особо тут не научишься( может мне так кажется, так как я ещё на 1 курсе ). ",
3,ФИТУ,Платная,Женский,"Университет - да, специальность - нет",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, часто","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,"Возможно, когда-нибудь уеду",Нормальный,Очень часто или постоянно,Иногда,Нейтральные,Доучиться,"ФКСиС - толк есть, остальные факультеты - нет",
3,ФРЭ,Бюджетная,Мужской,"Университет - да, специальность - нет",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Отсутствие интереса к предмету,"Да, в БГУИР",Не собираюсь уезжать,Слишком большой,Иногда,Редко,Позитивные,Доучиться,Знания сила ,
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Иногда,Иногда,Позитивные,Доучиться,Университет дал мне хорошую базу. ,"Не все предметы интересны. Есть крутые преподователи, которые суперски объясняют. Есть преподы, к которым ходить не хочеться, потому что все объяснение материала сводится к прочтению с листка либо с монитора."
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность","Не было до поступления, но появился","Да, со 2 курса","Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии","Да, но только то, что интересно",Нет,"Да, часто",Нехватка времени,Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Редко,Редко,Позитивные,Получить диплом и выпуститься,. ,
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Нужен диплом, Отсрочка от армии",Практически не посещаю,Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Часто,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,Могло быть и хуже,
3,ФИТУ,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса",Нужен диплом,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Иногда,Иногда,Позитивные,Получить диплом и выпуститься,good,
1,ФИК,Бюджетная,Мужской,"Университет - да, специальность - нет",Затрудняюсь ответить,"Да, с 1 курса","Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, стараюсь посещать по возможности все",Да,"Да, но редко",Отсутствие интереса к предмету,Нет,Не собираюсь уезжать,Нормальный,Часто,Иногда,Нейтральные,Получить диплом и выпуститься,"снаружи всё круто, внутри - не очень",да просто надо менять ВСЁ
3,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Общежитие/возможность проживать в Минске",Практически не посещаю,Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Есть желание уехать,Слишком большой,Иногда,Часто,Негативные,Получить диплом и выпуститься,армия по сравнению бгуиром - детский лагерь,
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,"Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в БГУИР",Не собираюсь уезжать,Слишком большой,Иногда,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,ВМСиС очень сложно,
2,ФИТУ,Платная,Женский,"Да, и университет, и специальность","Был до поступления, но пропал",Нет,Общественная жизнь университета,"Да, но только то, что интересно",Да,"Да, но редко",Отсутствие интереса к предмету,Нет,Есть желание уехать,Нормальный,Очень часто или постоянно,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,"Люди - одни из лучших в моей жизни, образование - совсем нет. Будучи сейчас  в 11 классе не пошла бы.",
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Общественная жизнь университета","Да, но только то, что интересно",Да,Сдаю только свои работы,,Затрудняюсь ответить,Есть желание уехать,Нормальный,Иногда,Иногда,Позитивные,Доучиться,"Много дают материала, нету времени на хобби",
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Нужен диплом, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но редко",Нехватка времени,"Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Часто,Редко,Позитивные,Доучиться,"Становится грустно, когда вспоминаешь, что это один из трёх лучших универов страны",
3,ФИТУ,Платная,Мужской,"Университет - да, специальность - нет","Был до поступления, но пропал",Нет,"Нужен диплом, Отсрочка от армии",Практически не посещаю,Да,"Да, часто","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Слишком большой,Иногда,Редко,Позитивные,Получить диплом и выпуститься,Console.log(studentOfBsuir.isProgrammer();) //false,
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Нет,Сдаю только свои работы,,Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Редко,Иногда,Позитивные,Доучиться,КСИС рулит! ,
2,ФКСиС,Бюджетная,Женский,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,Нужен диплом,"Да, стараюсь посещать по возможности все",Нет,Сдаю только свои работы,,Затрудняюсь ответить,Есть желание уехать,Нормальный,Иногда,Иногда,Нейтральные,Получить диплом и выпуститься,-,
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске",Практически не посещаю,Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Нет,Есть желание уехать,Нормальный,Часто,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,и это лучший IT вуз?,"Глядя на большинство преподавателей возникает чувство, что им плевать и на предмет, и на студентов. Практически не осталось тех, кто действительно может и хочет чему-то научить. Более того, тех, кто действительно способен заинтересовать в предмете и вдохновить на изучение (да, это важно) практически нет. Полностью отсутствует свобода выбора предметов, студентов пикчают тем, что им не интересно, и в результате получаем нулевой КПД от такого образования. "
1,ИЭФ,Бюджетная,Женский,"Университет - да, специальность - нет","Не было до поступления, но появился",Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Нет,Не собираюсь уезжать,Нормальный,Иногда,Часто,Позитивные,Доучиться,Не самые эффективные методики обучения,
4,ФКП,Платная,Женский,"Да, и университет, и специальность",Да,"Да, с 4 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Общественная жизнь университета, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Есть желание уехать,Нормальный,Очень часто или постоянно,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,"БГУИР это круто! Но 90% предметов не имеет отношение к твоей специальности. А следовательно тебя не покидает ощущение, что ты не на свое месте. Конечно, придя на работу, с корочкой, что это твоя специальность, у тебя в рукаве будет плюс. Но по факту все знания ты изучал сам на курсах и сторонних ресурсах. В чем тогда собственно смысл университета? И темболее платного образования .... ",
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность","Не было до поступления, но появился",Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, часто",Не хватает знаний выполнить самостоятельно,"Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Нейтральные,Доучиться,"Место, где нужно использовать силы по максимуму",
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,Практически не посещаю,Нет,"Да, но редко",Отсутствие интереса к предмету,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Часто,Иногда,Нейтральные,Доучиться,Блять шарага ебаная че за хуйня сука преподы некоторые ахуеть не объективные в рот ебал темная тема,
3,ФИК,Бюджетная,Мужской,"Университет - да, специальность - нет",Нет,Нет,"Нужен диплом, Отсрочка от армии",Практически не посещаю,Да,"Да, практически всегда","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Редко,Очень часто или постоянно,Крайне негативные,Получить диплом и выпуститься,Рроро,
1,ФКСиС,Платная,Мужской,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,"Нужен диплом, Отсрочка от армии, Общественная жизнь университета, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, часто","Нехватка времени, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Слишком большой,Часто,Иногда,Нейтральные,Доучиться,Хороший универ. И студсовет интересный ,
2,ИЭФ,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса","Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но редко",Отсутствие интереса к предмету,Затрудняюсь ответить,Есть желание уехать,Слишком большой,Часто,Иногда,Нейтральные,Доучиться,"Друзья; Интересные предметы, но бессмысленная нагрузка",
1,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,"Нужен диплом, Друзья/знакомые/мнение родителей",Практически не посещаю,Нет,"Да, но крайне редко",Отсутствие интереса к предмету,Нет,Есть желание уехать,Нормальный,Часто,Часто,Нейтральные,Получить диплом и выпуститься,Бесполезное место в плане образования,
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Нет,Сдаю только свои работы,,Нет,Есть желание уехать,Нормальный,Иногда,Иногда,Позитивные,Доучиться,Сложно но можно,
1,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,Практически не посещаю,Да,Сдаю только свои работы,Нехватка времени,"Да, в БГУИР",Есть желание уехать,Слишком большой,Иногда,Часто,Позитивные,Получить диплом и выпуститься,Не зря называется ведущим вузом в сфере it,
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса",Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Нет,"Да, но редко",Нехватка времени,Затрудняюсь ответить,Есть желание уехать,Нормальный,Часто,Иногда,Позитивные,Доучиться,"Не идеальное, но хорошее место",
1,ФИТУ,Бюджетная,Мужской,"Университет - да, специальность - нет",Нет,Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Нормальный,Часто,Часто,Нейтральные,Получить диплом и выпуститься,"Весело, но проблемно",
3,ФИТУ,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Да,Нет,"Нужен диплом, Отсрочка от армии","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Нехватка времени,Нет,Затрудняюсь ответить,Слишком большой,Часто,Иногда,Нейтральные,Получить диплом и выпуститься,Лучше **** бить орехи чем учиться в Политехе,
1,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Нет,Сдаю только свои работы,,"Да, в БГУИР",Не собираюсь уезжать,Нормальный,Очень редко или никогда,Иногда,Позитивные,Доучиться,Хороший вуз,Нет
2,ФИК,Бюджетная,Мужской,"Университет - да, специальность - нет",Нет,Нет,"Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нет,"Возможно, когда-нибудь уеду",Слишком большой,Иногда,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,Много лишней информации,Нет
3,ФРЭ,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Нет,Нет,Нужен диплом,Практически не посещаю,Да,"Да, часто","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Нормальный,Часто,Часто,Негативные,Получить диплом и выпуститься,Нервотрёпка,
3,ИЭФ,Бюджетная,Мужской,"Университет - да, специальность - нет","Не было до поступления, но появился","Да, с 3 курса","Нужен диплом, Отсрочка от армии",Практически не посещаю,Нет,"Да, практически всегда","Нехватка времени, Отсутствие интереса к предмету",Нет,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,"Лучше хуем бить орехи, чем учится в политехе",
2,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, часто",Отсутствие интереса к предмету,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Негативные,Получить диплом и выпуститься,университет,
2,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Нет,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Общественная жизнь университета","Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в другом месте",Есть желание уехать,Нормальный,Иногда,Иногда,Нейтральные,Доучиться,Скибиди-ва-па,
2,ФИТУ,Бюджетная,Женский,Нет,Затрудняюсь ответить,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, но редко",Отсутствие интереса к предмету,Нет,Есть желание уехать,Слишком большой,Иногда,Иногда,Нейтральные,Доучиться,"Место, где можно получить образование и встретить интересных людей",
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Нужен диплом,"Да, стараюсь посещать по возможности все",Нет,"Да, но крайне редко",Нехватка времени,Нет,Не собираюсь уезжать,Нормальный,Часто,Часто,Нейтральные,Получить диплом и выпуститься,Средне,
2,ФКСиС,Платная,Женский,"Да, и университет, и специальность","Был до поступления, но пропал",Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Общественная жизнь университета, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске",Практически не посещаю,Нет,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Нет,Затрудняюсь ответить,Слишком большой,Часто,Иногда,Нейтральные,Получить диплом и выпуститься,Друзья,
2,ФРЭ,Бюджетная,Мужской,"Да, и университет, и специальность","Был до поступления, но пропал",Нет,"Нужен диплом, Отсрочка от армии, Общественная жизнь университета","Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Есть желание уехать,Слишком большой,Очень часто или постоянно,Очень редко или никогда,Нейтральные,Доучиться,Хороший университет с большими возможностями и слабым руководством,Держится на преподавателях типа Надольского 
1,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Нет,Сдаю только свои работы,,"Да, в другом месте",Есть желание уехать,Нормальный,Редко,Часто,Позитивные,Доучиться,Это не программирование.,Нет.
